Ensembl_ID	Gene_symbol	logFC	FDR	Comparison	LncBook ID	Type	Conservation	miRNA	GWAS	nearest PC	Top correlated gene
ENSG00000254938	ENSG00000254938	-2.358721912	0.008678857	ctrl_p130_siCTRL vs DOX_p130_siCTRL	HSALNG0088042	sense	Q90	NA	Mean corpuscular hemoglobin,Insulin like growth factor measurement,-	KIRREL3	PLXND1
ENSG00000204661	C5orf60	5.292674709	0.021147886	ctrl_p130_siCTRL vs DOX_p130_siCTRL	HSALNG0047097	integenic	Not conserved	hsa-miR-762,hsa-miR-4437,hsa-miR-5787,hsa-miR-6802-3p	NA	HNRNPH1	YBX2
ENSG00000287817	ENSG00000287817	4.978764022	0.048363857	ctrl_p130_siCTRL vs DOX_p130_siCTRL	HSALNG0134971	anti_sense,sense	Not conserved	NA	-	SFI1	YBX2
ENSG00000255537	ENSG00000255537	5.292716344	0.021213273	ctrl_p130_siCTRL vs DOX_p130_siCTRL	NA	NA	NA	NA	NA	PKNOX2	YBX2
ENSG00000236008	LINC01814	5.292672417	0.021146243	ctrl_p130_siCTRL vs DOX_p130_siCTRL	HSALNG0012834	integenic	Not conserved	hsa-miR-7160-3p	NA	KIDINS220	YBX2
ENSG00000285955	ENSG00000285955	4.978728447	0.048267309	ctrl_p130_siCTRL vs DOX_p130_siCTRL	HSALNG0081208	anti_sense	Q50	hsa-miR-4534,hsa-miR-5693	Cognitive function measurement,Age-related macular degeneration,Systolic blood pressure,Headache,Atrophic macular degeneration; Age-related macular degeneration; Wet macular degeneration,Refractive error,Age-related macular degeneration; Abnormality of refraction,Pulse pressure measurement; Hypertension; Diastolic blood pressure; Systolic blood pressure,Wet macular degeneration; Age-related macular degeneration,-	C10orf120	YBX2
ENSG00000243902	ELFN2	5.292705684	0.021211543	ctrl_p130_siCTRL vs DOX_p130_siCTRL	HSALNG0135303	integenic	Not conserved	NA	NA	ELFN2	YBX2
ENSG00000287712	ENSG00000287712	7.590211723	4.08e-09	ctrl_p130_siCTRL vs DOX_p130_siCTRL	HSALNG0088646	integenic	Q50	hsa-miR-4695-5p,hsa-miR-6791-3p	Glomerular filtration rate,-	TSPAN9	YBX2
ENSG00000177335	LINC02904	1.664394376	4.13e-09	ctrl_p130_siCTRL vs DOX_p130_siCTRL	HSALNG0069224	integenic	Not conserved	hsa-miR-210-5p,hsa-miR-326,hsa-miR-331-3p,hsa-miR-939-3p,hsa-miR-4292,hsa-miR-1343-3p,hsa-miR-6735-5p	-	LY6E	CCL26
ENSG00000287005	ENSG00000287005	-2.406322548	0.004399839	ctrl_p130_siCTRL vs DOX_p130_siCTRL	HSALNG0031795	anti_sense	Not conserved	hsa-miR-619-5p,hsa-miR-6826-3p	Hypoxanthine mesurement,-	MUC20	TBXA2R
