Ensembl_ID	Gene_symbol	logFC	FDR	Comparison	LncBook ID	Type	Conservation	miRNA	GWAS	nearest PC	Top correlated gene
ENSG00000273381	ENSG00000273381	-2.75804828	0.000276188	FCIBC02 Parent_ctrl vs Parent_Doxo	HSALNG0072707	integenic	Not conserved	NA	Eosinophil count	AUH	HS3ST1
ENSG00000287021	ENSG00000287021	5.134681129	0.043811831	FCIBC02 Parent_ctrl vs Parent_Doxo	HSALNG0037019	anti_sense	Q50	hsa-miR-1224-3p,hsa-miR-4505,hsa-miR-5589-5p	Serum igg glycosylation measurement,Mean corpuscular volume,Mean reticulocyte volume,Susceptibility to rubella infection measurement,Mean corpuscular volume; Mean corpuscular hemoglobin; Mean corpuscular hemoglobin concentration,Trans fatty acid measurement; Trans/trans-18:2 fatty acid measurement,-	MFSD8	TFPI
ENSG00000268001	CARD8-AS1	1.079728893	6e-05	FCIBC02 Parent_ctrl vs Parent_Doxo	HSALNG0126842	anti_sense	Not conserved	hsa-miR-619-5p,hsa-miR-6089	NA	ZNF114	UPF1
ENSG00000259727	ENSG00000259727	2.275314715	0.011676316	FCIBC02 Parent_ctrl vs Parent_Doxo	HSALNG0106445	integenic	Q50	hsa-miR-4296,hsa-miR-4496,hsa-miR-6089	-	TLN2	CIAPIN1
ENSG00000269514	ENSG00000269514	-1.477777171	0.00012559	FCIBC02 Parent_ctrl vs Parent_Doxo	HSALNG0090844	overlap_antisense	Q50	hsa-miR-619-5p	Hba1c measurement,Self reported educational attainment,Cardiovascular disease,-	CCDC184	PRKAR2B
ENSG00000206337	HCP5	2.449947773	4.32e-46	FCIBC02 Parent_ctrl vs Parent_Doxo	HSALNG0049264	sense	Not conserved	hsa-miR-4257,hsa-miR-4492,hsa-miR-6769b-5p	Trichloroethylene-induced hypersensitivity,Hiv-1 infection,Female reproductive system disease,Blood protein measurement,Heel bone mineral density,Systemic lupus erythematosus,Mhc class i polypeptide-related sequence a measurement,Uveitis,Reticulocyte measurement,Hiv-1 infection; Mhc class i polypeptide-related sequence a measurement; Susceptibility to common cold measurement; Mean platelet volume,Cervical carcinoma,Body height; Bmi-adjusted hip circumference; Basophil percentage of leukocytes,Platelet component distribution width; Eosinophil percentage of leukocytes,Temporal arteritis; Blood protein measurement,Platelet count; Atopic asthma,Platelet-to-lymphocyte ratio; Bmi-adjusted hip circumference,Bmi-adjusted waist-hip ratio,Bmi-adjusted hip circumference; Bmi-adjusted waist-hip ratio,Chronic hepatitis c virus infection,Psoriatic arthritis,Cervical intraepithelial neoplasia grade 2/3; Mhc class i polypeptide-related sequence a measurement; Bmi-adjusted hip circumference; Cervical carcinoma,Mosquito bite reaction size measurement; Aspirin use measurement; Calcium channel blocker use measurement,Neutrophil percentage of granulocytes; Eosinophil percentage of leukocytes; Eosinophil percentage of granulocytes,Bmi-adjusted hip circumference,Body weight,Neutrophil percentage of leukocytes,Response to antineoplastic agent,Beta-2 microglobulin measurement,Non-melanoma skin carcinoma,Bmi-adjusted hip circumference; Neutrophil count; Lymphocyte count,Neutrophil count,Bmi-adjusted waist-hip ratio; Red blood cell distribution width,Iritis,17-hydroxyprogesterone measurement,Blood protein measurement; Trefoil factor 3 measurement,Mhc class i polypeptide-related sequence a measurement; Hemoglobin measurement,Platelet-derived growth factor bb measurement,Autism spectrum disorder,Mean platelet volume,Platelet count,Age at diagnosis,Eosinophil count,Platelet aggregation; Prostate carcinoma,Uterine fibroid; Bmi-adjusted waist-hip ratio,Red blood cell distribution width,Keratinocyte carcinoma; Squamous cell carcinoma,Apolipoprotein b measurement,Intelligence,Lung carcinoma,Mhc class i polypeptide-related sequence a measurement; Blood protein measurement,Body height; Stromal cell-derived factor 1 alpha measurement,Granulocyte percentage of myeloid white cells,Susceptibility to mononucleosis measurement,Platelet component distribution width,Hiv-1 infection; Aids; Psoriasis; Drug-induced liver injury,Renal system measurement,Myositis,Polymyositis; Physical activity measurement; Bmi-adjusted waist-hip ratio; Myositis,Eosinophil count; Platelet count,Cytokine measurement; Herpes zoster,Thyroid peroxidase antibody measurement,Squamous cell lung carcinoma; Mmr-related febrile seizures; Bmi-adjusted waist circumference; Lung carcinoma; Eosinophil count,Appendicular lean mass,Glucose measurement,Platelet-to-lymphocyte ratio,Aging,Bmi-adjusted hip circumference; Mhc class i polypeptide-related sequence b measurement; Bmi-adjusted waist-hip ratio,Upper aerodigestive tract neoplasm; Bmi-adjusted hip circumference; Anilide use measurement; Lung carcinoma; Body weight,Parental longevity,Visual perception measurement,Carpal tunnel syndrome,Herpes zoster,Thyrotoxic periodic paralysis,Bmi-adjusted waist circumference; Bmi-adjusted waist-hip ratio,Susceptibility to cold sores measurement; Eosinophil percentage of leukocytes,Tonsillectomy risk measurement,Eosinophil percentage of leukocytes,Susceptibility to childhood ear infection measurement,Body height,Lymphocyte count; Basophil count; Myositis; Leukocyte count; Monocyte count,Serum alanine aminotransferase measurement,Bmi-adjusted waist-hip ratio; Mhc class i polypeptide-related sequence b measurement,Angina pectoris,Clinical treatment,Bmi-adjusted waist circumference; Autism spectrum disorder; Bmi-adjusted hip circumference; Bmi-adjusted waist-hip ratio,Susceptibility to chickenpox measurement,Susceptibility to shingles measurement,Parental genotype effect measurement; Birth weight,Body mass index; Visceral adipose tissue measurement,Response to drug; Drug-induced agranulocytosis,Mosquito bite reaction size measurement; Mosquito bite reaction itch intensity measurement,Toxic epidermal necrolysis; Stevens-johnson syndrome,Eczema; Allergic rhinitis,Response to thioamide; Drug-induced agranulocytosis,Prion disease; Psychotic symptoms,Susceptibility to pneumonia measurement,Human papilloma virus infection; Oropharynx cancer,Bmi-adjusted waist circumference; Hypertension; Bmi-adjusted waist-hip ratio	MICB	MSL3
ENSG00000271984	ENSG00000271984	2.618276017	0.005386048	FCIBC02 Parent_ctrl vs Parent_Doxo	HSALNG0130437	anti_sense	Q90	NA	-	NEURL2	FBXL3
ENSG00000290429	ENSG00000290429	5.174517585	0.041437425	FCIBC02 Parent_ctrl vs Parent_Doxo	NA	NA	NA	NA	NA	SHCBP1	CACNG3
ENSG00000230090	ENSG00000230090	-5.844069631	0.015172293	FCIBC02 Parent_ctrl vs Parent_Doxo	HSALNG0012675	integenic	Q50	hsa-miR-130b-5p,hsa-miR-619-5p,hsa-miR-4463,hsa-miR-6086,hsa-miR-6089,hsa-miR-6792-5p,hsa-miR-6873-3p	Leukocyte count,Body height,Body mass index,Risk-taking behaviour,-	CMPK2	CACNA2D2
ENSG00000266010	GATA6-AS1	1.703680235	0.041437833	FCIBC02 Parent_ctrl vs Parent_Doxo	HSALNG0120344	anti_sense	Q90	hsa-miR-3195,hsa-miR-4290,hsa-miR-6791-3p,hsa-miR-6803-5p	Monocyte count,Neutrophil count,Lymphocyte percentage of leukocytes,Neutrophil percentage of leukocytes; Neutrophil count,-	CTAGE1	IFFO1
